Date,Open,High,Low,Close
03/21/2025,2.79%,2.79%,2.75%,2.77%
03/20/2025,2.81%,2.81%,2.75%,2.79%
03/19/2025,2.81%,2.82%,2.75%,2.81%
03/18/2025,2.83%,2.87%,2.81%,2.81%
03/17/2025,2.88%,2.90%,2.80%,2.83%
03/14/2025,2.85%,2.94%,2.85%,2.88%
03/13/2025,2.88%,2.92%,2.84%,2.85%
03/12/2025,2.90%,2.95%,2.88%,2.88%
03/11/2025,2.84%,2.91%,2.84%,2.90%
03/10/2025,2.84%,2.86%,2.77%,2.84%
03/07/2025,2.84%,2.85%,2.77%,2.84%
03/06/2025,2.79%,2.92%,2.78%,2.84%
03/05/2025,2.49%,2.80%,2.49%,2.79%
03/04/2025,2.49%,2.51%,2.43%,2.49%
03/03/2025,2.41%,2.52%,2.41%,2.49%
02/28/2025,2.42%,2.42%,2.37%,2.41%
02/27/2025,2.44%,2.46%,2.41%,2.42%
02/26/2025,2.46%,2.47%,2.43%,2.44%
02/25/2025,2.48%,2.50%,2.45%,2.46%
02/24/2025,2.47%,2.50%,2.46%,2.48%
02/21/2025,2.54%,2.54%,2.47%,2.47%
02/20/2025,2.56%,2.56%,2.54%,2.54%
02/19/2025,2.50%,2.56%,2.50%,2.56%
02/18/2025,2.49%,2.52%,2.49%,2.50%
02/17/2025,2.43%,2.50%,2.43%,2.49%
02/14/2025,2.42%,2.45%,2.42%,2.43%
02/13/2025,2.48%,2.48%,2.42%,2.42%
02/12/2025,2.43%,2.49%,2.43%,2.48%
02/11/2025,2.37%,2.44%,2.37%,2.43%
02/10/2025,2.38%,2.39%,2.35%,2.37%
02/07/2025,2.38%,2.41%,2.36%,2.38%
02/06/2025,2.37%,2.39%,2.36%,2.38%
02/05/2025,2.40%,2.40%,2.35%,2.37%
02/04/2025,2.39%,2.44%,2.39%,2.40%
02/03/2025,2.46%,2.46%,2.37%,2.39%
01/31/2025,2.52%,2.54%,2.46%,2.46%
01/30/2025,2.58%,2.58%,2.50%,2.52%
01/29/2025,2.56%,2.59%,2.53%,2.58%
01/28/2025,2.54%,2.57%,2.54%,2.56%
01/27/2025,2.58%,2.58%,2.50%,2.54%
01/24/2025,2.55%,2.60%,2.53%,2.58%
01/23/2025,2.53%,2.56%,2.52%,2.55%
01/22/2025,2.51%,2.53%,2.49%,2.53%
01/21/2025,2.53%,2.54%,2.50%,2.51%
01/20/2025,2.53%,2.55%,2.52%,2.53%
01/17/2025,2.55%,2.55%,2.51%,2.53%
01/16/2025,2.54%,2.59%,2.54%,2.55%
01/15/2025,2.63%,2.63%,2.51%,2.54%
01/14/2025,2.59%,2.63%,2.57%,2.63%
01/13/2025,2.57%,2.62%,2.57%,2.59%
01/10/2025,2.55%,2.61%,2.55%,2.57%
01/09/2025,2.52%,2.55%,2.52%,2.55%
01/08/2025,2.49%,2.54%,2.47%,2.52%
01/07/2025,2.45%,2.49%,2.44%,2.49%
01/06/2025,2.43%,2.48%,2.43%,2.45%
01/03/2025,2.38%,2.43%,2.35%,2.43%
01/02/2025,2.37%,2.38%,2.31%,2.38%
12/31/2024,2.37%,2.37%,2.37%,2.37%
12/30/2024,2.40%,2.41%,2.35%,2.37%
12/27/2024,2.32%,2.41%,2.32%,2.40%
12/25/2024,2.32%,2.32%,2.32%,2.32%
12/24/2024,2.32%,2.32%,2.32%,2.32%
12/23/2024,2.29%,2.34%,2.29%,2.32%
12/20/2024,2.31%,2.32%,2.27%,2.29%
12/19/2024,2.25%,2.33%,2.25%,2.31%
12/18/2024,2.23%,2.27%,2.23%,2.25%
12/17/2024,2.25%,2.26%,2.22%,2.23%
12/16/2024,2.26%,2.27%,2.23%,2.25%
12/13/2024,2.21%,2.26%,2.20%,2.26%
12/12/2024,2.13%,2.21%,2.13%,2.21%
12/11/2024,2.12%,2.14%,2.10%,2.13%
12/10/2024,2.13%,2.15%,2.10%,2.12%
12/09/2024,2.11%,2.13%,2.09%,2.13%
12/06/2024,2.12%,2.13%,2.09%,2.11%
12/05/2024,2.06%,2.13%,2.05%,2.12%
12/04/2024,2.06%,2.11%,2.05%,2.06%
12/03/2024,2.04%,2.08%,2.03%,2.06%
12/02/2024,2.09%,2.09%,2.04%,2.04%
