Date,Euribor_3m
2024-12-23,2.731
2024-12-24,2.719
2024-12-25,2.707
2024-12-26,2.695
2024-12-27,2.683
2024-12-30,2.70625
2024-12-31,2.714
2025-01-01,2.7196666666666665
2025-01-02,2.7253333333333334
2025-01-03,2.731
2025-01-06,2.839
2025-01-07,2.875
2025-01-08,2.8320000000000003
2025-01-09,2.789
2025-01-10,2.7880000000000003
2025-01-13,2.785
2025-01-14,2.7665
2025-01-15,2.748
2025-01-16,2.726
2025-01-17,2.704
2025-01-20,2.704
2025-01-21,2.6925
2025-01-22,2.681
2025-01-23,2.677
2025-01-24,2.673
2025-01-27,2.641
2025-01-28,2.6265
2025-01-29,2.612
2025-01-30,2.6005000000000003
2025-01-31,2.589
2025-02-03,2.553
2025-02-04,2.541
2025-02-05,2.5380000000000003
2025-02-06,2.535
2025-02-07,2.53275
2025-02-10,2.526
2025-02-11,2.5395
2025-02-12,2.553
2025-02-13,2.5374999999999996
2025-02-14,2.522
2025-02-17,2.51
2025-02-18,2.516
2025-02-19,2.529
2025-02-20,2.534
2025-02-21,2.521
2025-02-24,2.521
2025-02-25,2.53
2025-02-26,2.499
2025-02-27,2.485
2025-02-28,2.464
2025-03-03,2.464
2025-03-04,2.491
2025-03-05,2.504
2025-03-06,2.511
2025-03-07,2.529
2025-03-10,2.547
2025-03-11,2.553
2025-03-12,2.527
2025-03-13,2.501
2025-03-14,2.478
2025-03-17,2.456
2025-03-18,2.426
2025-03-19,2.411
2025-03-20,2.387
2025-03-21,2.386
