Date,Euribor 3 months
21/03/2025,2.386
20/03/2025,2.387
19/03/2025,2.411
18/03/2025,2.426
17/03/2025,2.456
14/03/2025,2.478
13/03/2025,2.501
12/03/2025,2.527
11/03/2025,2.553
10/03/2025,2.547
07/03/2025,2.529
06/03/2025,2.511
05/03/2025,2.504
04/03/2025,2.491
03/03/2025,2.464
28/02/2025,2.464
27/02/2025,2.485
26/02/2025,2.499
25/02/2025,2.53
24/02/2025,2.521
21/02/2025,2.521
20/02/2025,2.534
19/02/2025,2.529
18/02/2025,2.516
17/02/2025,2.51
14/02/2025,2.522
13/02/2025,
12/02/2025,2.553
11/02/2025,
10/02/2025,2.526
07/02/2025,
06/02/2025,2.535
05/02/2025,
04/02/2025,2.541
03/02/2025,
31/01/2025,2.589
30/01/2025,
29/01/2025,2.612
28/01/2025,
27/01/2025,2.641
24/01/2025,2.673
23/01/2025,
22/01/2025,2.681
21/01/2025,
20/01/2025,2.704
17/01/2025,2.704
16/01/2025,
15/01/2025,2.748
14/01/2025,
13/01/2025,2.785
10/01/2025,
09/01/2025,2.789
08/01/2025,
07/01/2025,2.875
06/01/2025,
03/01/2025,2.731
02/01/2025,
01/01/2025,
31/12/2024,2.714
30/12/2024,
27/12/2024,2.683
26/12/2024,
25/12/2024,
24/12/2024,
23/12/2024,2.731
