"Name","Clean_Company_Maturity","WKN","URL","ISIN","Company","Kupon_Maturity","Coupon","Maturity_Start","Maturity_End","is_green","last_price","DateTime","Volume.in.Euro","X.....","Currency","YTM","modified_duration","Kupon","Emittent","Branche","Fälligkeit","Schuldnerkündigungsart","Sonderkündigung","Nachrangig","Kleinste.handelbare.Einheit","Spezialist","Handelsmodell","Emissionsdatum","Emissionsvolumen","Umlaufendes.Volumen","Emissionswährung","Depotwährung","Notierungsaufnahme","Emission_year_2020.0","Emission_year_2021.0","Emission_year_2022.0","Emission_year_2023.0","Emission_year_2024.0","Emission_year_2025.0","Date","fälligkeit_datum","emission_datum","days_to_maturity","maturity_years"
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.47,NA,0,"0,19","Euro",2.46,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"02/01/2025","29/09/2027","16/01/2020",1000,2.73972602739726
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.37,NA,0,"0,08","Euro",2.5,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"02/01/2025","29/09/2027","16/01/2020",1000,2.73972602739726
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.44,NA,0,"0,16","Euro",2.47,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"02/01/2025","29/09/2027","16/01/2020",1000,2.73972602739726
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.35,NA,0,"0,00","Euro",2.51,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","29/09/2027","16/01/2020",999,2.73698630136986
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.24,NA,0,"-0,11","Euro",2.55,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","29/09/2027","16/01/2020",999,2.73698630136986
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.33,NA,0,"-0,02","Euro",2.52,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","29/09/2027","16/01/2020",999,2.73698630136986
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.37,NA,0,"-0,06","Euro",2.57,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/02/2025","29/09/2027","16/01/2020",968,2.65205479452055
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.48,NA,0,"0,06","Euro",2.53,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/02/2025","29/09/2027","16/01/2020",968,2.65205479452055
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.5,NA,0,"0,08","Euro",2.52,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/02/2025","29/09/2027","16/01/2020",968,2.65205479452055
"E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.43,NA,0,"-0,13","Euro",2.55,0.002405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"04/02/2025","29/09/2027","16/01/2020",967,2.64931506849315
