"","Name","Clean_Company_Maturity","WKN","URL","ISIN","Company","Kupon_Maturity","Coupon","Maturity_Start","Maturity_End","is_green","last_price","DateTime","Volume.in.Euro","X.....","Currency","YTM","modified_duration","Kupon","Emittent","Branche","Fälligkeit","Schuldnerkündigungsart","Sonderkündigung","Nachrangig","Kleinste.handelbare.Einheit","Spezialist","Handelsmodell","Emissionsdatum","Emissionsvolumen","Umlaufendes.Volumen","Emissionswährung","Depotwährung","Notierungsaufnahme","Emission_year_2020.0","Emission_year_2021.0","Emission_year_2022.0","Emission_year_2023.0","Emission_year_2024.0","Emission_year_2025.0","Date","fälligkeit_datum","emission_datum","days_to_maturity","maturity_years"
"1","E.ON SE 0,375% 20/27","e on se 0 375 20 27","A254QR","https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27","xs2103014291","e on se","0 375 20 27",0.375,20,27,1,94.35,NA,0,"0,00","Euro",2.51,2.405,"0,375%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","29,09,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/01/2020",1e+09,1e+09,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","29/09/2027","16/01/2020",999,2.73698630136986
"2","E.ON SE 0,75% 20/30","e on se 0 75 20 30","A254QS","https://www.boerse-frankfurt.de/anleihe/xs2103014457-e-on-se-0-75-20-30","xs2103014457","e on se","0 75 20 30",0.75,20,30,0,87.3,NA,3.492,"-0,02","Euro",3.08,4.815,"0,750%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","18,12,2030","Special call","","",1000,"BAADER BANK AG","Fortlaufende Auktion","16/01/2020",5e+08,5e+08,"EUR","EUR","14,01,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","18/12/2030","16/01/2020",2175,5.95890410958904
"3","Landwirtschaftliche Rentenbank 0,000% 21/31","landwirtschaftliche rentenbank 0 000 21 31","A27DLN","https://www.boerse-frankfurt.de/anleihe/xs2359292955-landwirtschaftliche-rentenbank-0-000-21-31","xs2359292955","landwirtschaftliche rentenbank","0 000 21 31",0,21,31,1,84.45,NA,0,"-0,28","Euro",2.6,5.401,"","Landwirtschaftliche Rentenbank","Schuldverschreibungen von Sonderinstituten","30,06,2031","","","",1000,"BAADER BANK AG","Fortlaufende Auktion","30/06/2021",1e+09,1e+09,"EUR","EUR","25,06,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","30/06/2031","30/06/2021",2369,6.49041095890411
"4","De Volksbank N.V. 1,75% 20/30","de volksbank n v 1 75 20 30","A280AJ","https://www.boerse-frankfurt.de/anleihe/xs2202902636-de-volksbank-n-v-1-75-20-30","xs2202902636","de volksbank n v","1 75 20 30",1.75,20,30,1,98.92,NA,0,"0,00","Euro",1.95,NA,"17.5","De Volksbank N,V,","WÃ¤hrungsanleihen","22,10,2030","Special call","","Ja",100000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","22/07/2020",5e+08,5e+08,"EUR","EUR","17,07,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","22/10/2030","22/07/2020",2118,5.8027397260274
"5","Volkswagen International Finance N.V. 0,875% 20/28","volkswagen international finance n v 0 875 20 28","A282U1","https://www.boerse-frankfurt.de/anleihe/xs2234567233-volkswagen-international-finance-n-v-0-875-20-28","xs2234567233","volkswagen international finance n v","0 875 20 28",0.875,20,28,1,91.38,NA,0,"-0,13","Euro",3.31,3.154,"0,875%","Volkswagen International Finance N,V,","WÃ¤hrungsanleihen","22,09,2028","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","23/09/2020",1.25e+09,1.25e+09,"EUR","EUR","21,09,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","22/09/2028","23/09/2020",1358,3.72054794520548
"6","Volkswagen International Finance N.V. 1,25% 20/32","volkswagen international finance n v 1 25 20 32","A282U2","https://www.boerse-frankfurt.de/anleihe/xs2234567662-volkswagen-international-finance-n-v-1-25-20-32","xs2234567662","volkswagen international finance n v","1 25 20 32",1.25,20,32,1,83.12,NA,0,"-0,32","Euro",3.74,5.533,"12.5","Volkswagen International Finance N,V,","WÃ¤hrungsanleihen","23,09,2032","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","23/09/2020",7.5e+08,7.5e+08,"EUR","EUR","18,09,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","23/09/2032","23/09/2020",2820,7.72602739726027
"7","Instituto de Credito Oficial 0,000% 20/26","instituto de credito oficial 0 000 20 26","A28395","https://www.boerse-frankfurt.de/anleihe/xs2250026734-instituto-de-credito-oficial-0-000-20-26","xs2250026734","instituto de credito oficial","0 000 20 26",0,20,26,1,96.78,NA,0,"-0,02","Euro",2.48,1.124,"","Instituto de Credito Oficial","WÃ¤hrungsanleihen","30,04,2026","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","28/10/2020",5e+08,5e+08,"EUR","EUR","26,10,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","30/04/2026","28/10/2020",482,1.32054794520548
"8","National Bank of Greece S.A. 2,75% 20/26","national bank of greece s a 2 75 20 26","A283HP","https://www.boerse-frankfurt.de/anleihe/xs2237982769-national-bank-of-greece-s-a-2-75-20-26","xs2237982769","national bank of greece s a","2 75 20 26",2.75,20,26,1,99.69,NA,0,"0,05","Euro",2.93,NA,"27.5","National Bank of Greece S,A,","WÃ¤hrungsanleihen","08,10,2026","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","08/10/2020",5e+08,5e+08,"EUR","EUR","05,10,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","08/10/2026","08/10/2020",643,1.76164383561644
"9","De Volksbank N.V. 0,125% 20/40","de volksbank n v 0 125 20 40","A28439","https://www.boerse-frankfurt.de/anleihe/xs2259193998-de-volksbank-n-v-0-125-20-40","xs2259193998","de volksbank n v","0 125 20 40",0.125,20,40,0,60.62,NA,0,"-0,25","Euro",3.24,9.258,"0,125%","De Volksbank N,V,","WÃ¤hrungsanleihen","19,11,2040","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","19/11/2020",5e+08,5e+08,"EUR","EUR","13,11,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","19/11/2040","19/11/2020",5799,15.8876712328767
"10","Ungarn, Republik 0,5% 20/30","ungarn republik 0 5 20 30","A2848P","https://www.boerse-frankfurt.de/anleihe/xs2259191273-ungarn-republik-0-5-20-30","xs2259191273","ungarn republik","0 5 20 30",0.5,20,30,0,83.47,NA,0,"-0,06","Euro",3.61,4.671,"0,500%","Ungarn","WÃ¤hrungsanleihen","18,11,2030","","","",1000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","17/11/2020",1.25e+09,1.25e+09,"EUR","EUR","16,11,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","18/11/2030","17/11/2020",2145,5.87671232876712
"11","Mercedes-Benz Group AG 0,75% 20/30","mercedes benz group ag 0 75 20 30","A289QR","https://www.boerse-frankfurt.de/anleihe/de000a289qr9-mercedes-benz-group-ag-0-75-20-30","de000a289qr9","mercedes benz group ag","0 75 20 30",0.75,20,30,1,87.15,NA,0,"-0,06","Euro",3.22,4.592,"0,750%","Mercedes-Benz Group AG","(Industrie-) und Bankschuldverschreibungen","10,09,2030","","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","10/09/2020",1e+09,1e+09,"EUR","EUR","07,09,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","10/09/2030","10/09/2020",2076,5.68767123287671
"12","Mercedes-Benz International Finance B.V. 2% 20/26","mercedes benz international finance b v 2 20 26","A289XJ","https://www.boerse-frankfurt.de/anleihe/de000a289xj2-mercedes-benz-international-finance-b-v-2-20-26","de000a289xj2","mercedes benz international finance b v","2 20 26",2,20,26,0,98.18,NA,29.454,"-0,05","Euro",3.14,1.401,"20","Mercedes-Benz International Finance B,V,","WÃ¤hrungsanleihen","22,08,2026","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","22/05/2020",1.25e+09,1.25e+09,"EUR","EUR","15,05,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","22/08/2026","22/05/2020",596,1.63287671232877
