"","TITLE"
"1","Yield curve parameters, Beta 0 - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"2","Yield curve parameters, Beta 1 - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"3","Yield curve parameters, Beta 2 - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"4","Yield curve parameters, Beta 3 - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"5","Yield curve instantaneous forward rate, 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"6","Yield curve instantaneous forward rate, 10-year maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"7","Yield curve instantaneous forward rate, 10-year 10-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"8","Yield curve instantaneous forward rate, 10-year 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"9","Yield curve instantaneous forward rate, 10-year 1-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"10","Yield curve instantaneous forward rate, 10-year 2-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"11","Yield curve instantaneous forward rate, 10-year 3-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"12","Yield curve instantaneous forward rate, 10-year 4-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"13","Yield curve instantaneous forward rate, 10-year 5-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"14","Yield curve instantaneous forward rate, 10-year 6-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"15","Yield curve instantaneous forward rate, 10-year 7-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"16","Yield curve instantaneous forward rate, 10-year 8-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"17","Yield curve instantaneous forward rate, 10-year 9-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
"18","Yield curve instantaneous forward rate, 11-month residual maturity - Government bond, nominal, all issuers all ratings included - Euro area (changing composition)"
