Name,Clean_Company_Maturity,WKN,URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,Last Price,DateTime,Volume in Euro,+/- %,Currency,YTM
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.47,2025-01-02T08:40:00Z,0,"0,19",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.37,2025-01-02T10:53:00Z,0,"0,08",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.44,2025-01-02T13:47:00Z,0,"0,16",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.35,2025-01-03T08:40:00Z,0,"0,00",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.24,2025-01-03T11:30:00Z,0,"-0,11",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.33,2025-01-03T13:47:00Z,0,"-0,02",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.37,2025-02-03T08:44:00Z,0,"-0,06",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.48,2025-02-03T13:47:00Z,0,"0,06",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.5,2025-02-03T16:40:00Z,0,"0,08",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.43,2025-02-04T08:39:00Z,0,"-0,13",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.43,2025-02-04T08:40:00Z,0,"-0,13",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.63,2025-02-04T13:47:00Z,0,"0,07",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.24,2025-01-06T08:40:00Z,0,"-0,01",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.16,2025-01-06T13:47:00Z,0,"-0,09",Euro,-
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1,94.12,2025-01-06T17:17:00Z,0,"-0,13",Euro,-
