column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50,column_51,column_52,column_53,column_54,column_55,column_56,column_57,column_58,column_59,column_60,column_61,column_62,column_63,column_64,column_65,column_66,column_67,column_68,column_69,column_70,column_71,column_72,column_73,column_74,column_75,column_76,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,URL,column_110
07.02.25 15:26:59,Letzter Preis,"107,30",Veränderung zum Vortag,0.70%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,0.75 / 0.70%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"107,30",Tagestief/-hoch,"106,51 / 107,57",52-Wochentief/-hoch,"103,92 / 108,83",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"3,4924",Rendite in % zu Brief,"3,4876",Rendite in % zu Geld,"3,6392",Stückzinsberechnung,k.A.,Stückzinsen in %,"1,8055",Aufgelaufene Stückzinstage,139,Duration in Jahren,"5,873",Modified Duration,"4,679",Kupon,4.750%,Erster Zinstermin,25.09.2024,Anzahl Zinstermine,Jährlich,Zinslauf ab,25.09.2023,Tief,"104,00","104,00","104,00","103,92","96,64","96,64",Hoch,"107,63","108,83","108,83","108,83","108,83","108,83",Entwicklung,2.02%,1.89%,1.08%,1.79%,7.96%,7.96%,Emittent,Volkswagen Leasing GmbH,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,25.09.2023,Emissionsvolumen,700.000.000,Umlaufendes Volumen,700.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,20.09.2023,Fälligkeit,25.09.2031,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WOLFGANG STEUBING AG,Handelsmodell,Fortlaufende Auktion,https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,
07.02.25 17:00:15,Letzter Preis,"96,315",Veränderung zum Vortag,-0.05%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.05 / -0.05%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"96,315",Tagestief/-hoch,"96,315 / 96,65",52-Wochentief/-hoch,"92,455 / 96,65",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,6895",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"0,3932",Aufgelaufene Stückzinstage,115,Duration in Jahren,"2,658",Modified Duration,"2,475",Kupon,1.250%,Erster Zinstermin,19.10.2018,Anzahl Zinstermine,Jährlich,Zinslauf ab,19.10.2017,Tief,"95,385","95,385","94,595","92,455","89,345","87,895",Hoch,"96,65","96,65","96,65","96,65","96,65","103,225",Entwicklung,0.56%,0.31%,1.68%,2.90%,4.10%,-5.47%,Emittent,E.ON International Finance B.V.,Branche,Währungsanleihen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,19.10.2017,Emissionsvolumen,850.000.000,Umlaufendes Volumen,850.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,16.10.2017,Fälligkeit,19.10.2027,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/xs1702729275-e-on-international-finance-b-v-1-25-17-27,
07.02.25 12:53:03,Letzter Preis,"99,61",Veränderung zum Vortag,1.09%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,1.07 / 1.09%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"99,61",Tagestief/-hoch,"98,61 / 99,61",52-Wochentief/-hoch,"93,97 / 99,80",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,8289",Rendite in % zu Brief,"2,8456",Rendite in % zu Geld,"3,0456",Stückzinsberechnung,k.A.,Stückzinsen in %,"1,9770",Aufgelaufene Stückzinstage,263,Duration in Jahren,"4,991",Modified Duration,"4,307",Kupon,2.750%,Erster Zinstermin,24.05.2023,Anzahl Zinstermine,Jährlich,Zinslauf ab,24.05.2022,Tief,"96,81","96,81","96,48","93,97","89,55","87,86",Hoch,"99,67","99,80","99,80","99,80","99,80","101,13",Entwicklung,2.04%,2.06%,2.90%,4.69%,6.73%,-0.20%,Emittent,RWE AG,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,24.05.2022,Emissionsvolumen,1.000.000.000,Umlaufendes Volumen,1.000.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,20.05.2022,Fälligkeit,24.05.2030,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WOLFGANG STEUBING AG,Handelsmodell,Fortlaufende Auktion,https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,
07.02.25 12:02:23,Letzter Preis,"100,78",Veränderung zum Vortag,-0.14%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.14 / -0.14%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"100,78",Tagestief/-hoch,"100,78 / 100,91",52-Wochentief/-hoch,"99,90 / 101,53",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,8701",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"2,4588",Aufgelaufene Stückzinstage,257,Duration in Jahren,"1,293",Modified Duration,"1,247",Kupon,3.500%,Erster Zinstermin,30.05.2024,Anzahl Zinstermine,Jährlich,Zinslauf ab,30.05.2023,Tief,"100,54","100,54","100,44","99,90","98,99","98,99",Hoch,"101,44","101,53","101,53","101,53","101,60","101,60",Entwicklung,0.06%,-0.07%,0.12%,-0.30%,0.96%,0.96%,Emittent,Mercedes-Benz International Finance B.V.,Branche,Währungsanleihen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,30.05.2023,Emissionsvolumen,1.000.000.000,Umlaufendes Volumen,1.000.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,24.05.2023,Fälligkeit,30.05.2026,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WOLFGANG STEUBING AG,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,
07.02.25 17:19:27,Letzter Preis,"105,44",Veränderung zum Vortag,0.00%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,0.00 / 0.00%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"105,44",Tagestief/-hoch,"105,44 / 105,44",52-Wochentief/-hoch,"102,64 / 105,44",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"3,1913",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"4,0831",Aufgelaufene Stückzinstage,323,Duration in Jahren,"3,853",Modified Duration,"3,386",Kupon,4.625%,Erster Zinstermin,25.03.2024,Anzahl Zinstermine,Jährlich,Zinslauf ab,25.09.2023,Tief,"102,95","102,95","102,95","102,64","98,30","98,30",Hoch,"105,44","105,44","105,44","105,44","106,29","106,29",Entwicklung,1.81%,1.43%,0.80%,1.78%,5.62%,5.62%,Emittent,Volkswagen Leasing GmbH,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,25.09.2023,Emissionsvolumen,500.000.000,Umlaufendes Volumen,500.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,20.09.2023,Fälligkeit,25.03.2029,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WOLFGANG STEUBING AG,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,
07.02.25 17:28:08,Letzter Preis,"99,069",Veränderung zum Vortag,-0.01%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.006 / -0.01%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"99,069",Tagestief/-hoch,"99,045 / 99,36",52-Wochentief/-hoch,"96,89 / 99,385",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,8718",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"1,5276",Aufgelaufene Stückzinstage,263,Duration in Jahren,"1,278",Modified Duration,"1,232",Kupon,2.125%,Erster Zinstermin,24.05.2023,Anzahl Zinstermine,Jährlich,Zinslauf ab,24.05.2022,Tief,"98,825","98,13","98,13","96,89","94,14","93,75",Hoch,"99,385","99,385","99,385","99,385","99,385","100,375",Entwicklung,0.18%,0.36%,0.67%,1.88%,3.36%,-0.93%,Emittent,RWE AG,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,24.05.2022,Emissionsvolumen,1.000.000.000,Umlaufendes Volumen,1.000.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,20.05.2022,Fälligkeit,24.05.2026,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,ICF BANK AG WERTPAPIERHANDELSBANK,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,
07.02.25 17:00:06,Letzter Preis,"79,15",Veränderung zum Vortag,-0.04%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.03 / -0.04%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"79,15",Tagestief/-hoch,"78,84 / 79,56",52-Wochentief/-hoch,"73,76 / 80,90",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"4,2937",Rendite in % zu Brief,"4,2352",Rendite in % zu Geld,"4,2937",Stückzinsberechnung,k.A.,Stückzinsen in %,"1,2007",Aufgelaufene Stückzinstage,251,Duration in Jahren,"9,411",Modified Duration,"6,100",Kupon,1.750%,Erster Zinstermin,05.06.2021,Anzahl Zinstermine,Jährlich,Zinslauf ab,05.06.2020,Tief,"76,64","76,64","76,51","73,76","66,48","58,19",Hoch,"79,56","80,90","80,90","80,90","80,90","99,64",Entwicklung,1.11%,2.57%,3.06%,6.36%,10.68%,-19.57%,Emittent,"Ungarn, Republik",Branche,Währungsanleihen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,05.06.2020,Emissionsvolumen,1.500.000.000,Umlaufendes Volumen,1.500.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,04.06.2020,Fälligkeit,05.06.2035,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,BAADER BANK AG,Handelsmodell,Fortlaufende Auktion,,https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,
07.02.25 10:40:22,Letzter Preis,"99,57",Veränderung zum Vortag,1.75%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,1.71 / 1.75%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"99,57",Tagestief/-hoch,"97,93 / 99,57",52-Wochentief/-hoch,"94,73 / 100,17",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,0951",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"0,4815",Aufgelaufene Stückzinstage,88,Duration in Jahren,"4,591",Modified Duration,"4,159",Kupon,2.000%,Erster Zinstermin,15.11.2022,Anzahl Zinstermine,Jährlich,Zinslauf ab,05.07.2022,Tief,"96,62","96,62","96,62","94,73","91,76","91,76",Hoch,"99,62","100,17","100,17","100,17","100,17","105,71",Entwicklung,2.31%,2.59%,2.59%,3.49%,4.91%,-1.05%,Emittent,Kreditanstalt für Wiederaufbau,Branche,Schuldverschreibungen von Sonderinstituten,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,05.07.2022,Emissionsvolumen,4.000.000.000,Umlaufendes Volumen,4.000.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,30.06.2022,Fälligkeit,15.11.2029,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,WOLFGANG STEUBING AG,Handelsmodell,Fortlaufende Auktion,,,,https://www.boerse-frankfurt.de/anleihe/xs2498154207-kreditanstalt-fuer-wiederaufbau-2-22-29,
07.02.25 17:00:06,Letzter Preis,"104,32",Veränderung zum Vortag,-0.69%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.73 / -0.69%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"104,32",Tagestief/-hoch,"104,24 / 105,11",52-Wochentief/-hoch,"100,34 / 105,94",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"3,6030",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"4,1038",Aufgelaufene Stückzinstage,364,Duration in Jahren,"8,441",Modified Duration,"5,924",Kupon,4.125%,Erster Zinstermin,13.02.2024,Anzahl Zinstermine,Jährlich,Zinslauf ab,13.02.2023,Tief,"101,64","101,64","101,64","100,34","92,60","92,60",Hoch,"105,11","105,94","105,94","105,94","105,94","105,94",Entwicklung,1.38%,1.22%,1.57%,1.38%,4.65%,4.65%,Emittent,RWE AG,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,13.02.2023,Emissionsvolumen,500.000.000,Umlaufendes Volumen,500.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,09.02.2023,Fälligkeit,13.02.2035,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,BAADER BANK AG,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,
07.02.25 17:00:07,Letzter Preis,"99,026",Veränderung zum Vortag,-0.03%,07.02.25 17:30:00,Geld,Brief,"0,00","0,00",für 0 Nominal,für 0 Nominal,Differenz zum Vortag,-0.025 / -0.03%,Spread absolut / relativ,0 / 0%,Tagesumsatz in Euro,0,Tagesumsatz nominal,0,Preisfeststellungen,0,Schlusspreis des letzten Handelstages,"99,026",Tagestief/-hoch,"98,95 / 99,051",52-Wochentief/-hoch,"96,158 / 99,065",Handelszeiten,08:00-17:30,Rendite in % zum letzten Preis,"2,5202",Rendite in % zu Brief,Rendite in % zu Geld,Stückzinsberechnung,k.A.,Stückzinsen in %,"0,3473",Aufgelaufene Stückzinstage,127,Duration in Jahren,"0,654",Modified Duration,"0,644",Kupon,1.000%,Erster Zinstermin,07.10.2020,Anzahl Zinstermine,Jährlich,Zinslauf ab,07.04.2020,Tief,"98,73","98,425","97,43","96,158","93,23","93,23",Hoch,"99,065","99,065","99,065","99,065","99,065","102,10",Entwicklung,0.22%,0.48%,1.54%,2.37%,4.13%,-2.06%,Emittent,E.ON SE,Branche,(Industrie-) und Bankschuldverschreibungen,Markt,Freiverkehr,Subsegment,Mindestanlagesumme,1.000,Notierungseinheit,Prozentnotiert,Emissionsdatum,07.04.2020,Emissionsvolumen,750.000.000,Umlaufendes Volumen,750.000.000,Emissionswährung,EUR,Depotwährung,EUR,Notierungsaufnahme,02.04.2020,Fälligkeit,07.10.2025,Schuldnerkündigungsart,Special call,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,1.000,Spezialist,BAADER BANK AG,Handelsmodell,Fortlaufende Auktion,,,https://www.boerse-frankfurt.de/anleihe/xs2152899584-e-on-se-1-20-25,
