URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green
https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,xs2694874533,#NAME?,volkswagen-leasing-gmbh,4-75-23-31,4.75,23,31,1
https://www.boerse-frankfurt.de/anleihe/xs1702729275-e-on-international-finance-b-v-1-25-17-27,xs1702729275,#NAME?,e-on-international-finance-b-v,1-25-17-27,1.25,17,27,1
https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,#NAME?,rwe-ag,2-75-22-30,2.75,22,30,1
https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,de000a3lh6t7,#NAME?,mercedes-benz-international-finance-b-v,3-5-23-26,3.5,23,26,1
https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,xs2694872594,#NAME?,volkswagen-leasing-gmbh,4-625-23-29,4.625,23,29,1
https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,#NAME?,rwe-ag,2-125-22-26,2.125,22,26,1
https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,#NAME?,ungarn-republik,1-75-20-35,1.75,20,35,1
https://www.boerse-frankfurt.de/anleihe/xs2498154207-kreditanstalt-fuer-wiederaufbau-2-22-29,xs2498154207,#NAME?,kreditanstalt-fuer-wiederaufbau,2-22-29,2,22,29,1
https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,#NAME?,rwe-ag,4-125-23-35,4.125,23,35,1
https://www.boerse-frankfurt.de/anleihe/xs2152899584-e-on-se-1-20-25,xs2152899584,#NAME?,e-on-se,1-20-25,1,20,25,1
https://www.boerse-frankfurt.de/anleihe/xs2673536541-e-on-se-3-75-23-29,xs2673536541,#NAME?,e-on-se,3-75-23-29,3.75,23,29,1
https://www.boerse-frankfurt.de/anleihe/xs2288097640-international-bank-for-reconstruction-and-development-5-21-26,xs2288097640,#NAME?,international-bank-for-reconstruction-and-development,5-21-26,5,21,26,1
https://www.boerse-frankfurt.de/anleihe/xs2338004497-european-investment-bank-eib-1-25-21-27,xs2338004497,#NAME?,european-investment-bank-eib,1-25-21-27,1.25,21,27,1
https://www.boerse-frankfurt.de/anleihe/au3cb0258739-international-bank-for-reconstruction-and-development-2-9-18-25,au3cb0258739,#NAME?,international-bank-for-reconstruction-and-development,2-9-18-25,2.9,18,25,1
https://www.boerse-frankfurt.de/anleihe/au3cb0295764-european-investment-bank-eib-4-75-23-33,au3cb0295764,#NAME?,european-investment-bank-eib,4-75-23-33,4.75,23,33,1
https://www.boerse-frankfurt.de/anleihe/be6332786449-vgp-n-v-1-625-22-27,be6332786449,#NAME?,vgp-n-v,1-625-22-27,1.625,22,27,1
https://www.boerse-frankfurt.de/anleihe/ca45950kde79-international-finance-corp-4-5-23-26,ca45950kde79,#NAME?,international-finance-corp,4-5-23-26,4.5,23,26,1
https://www.boerse-frankfurt.de/anleihe/ca748148rx35-quebec-provinz-2-6-18-25,ca748148rx35,#NAME?,quebec-provinz,2-6-18-25,2.6,18,25,1
https://www.boerse-frankfurt.de/anleihe/de000a289dc9-basf-se-0-25-20-27,de000a289dc9,#NAME?,basf-se,0-25-20-27,0.25,20,27,1
https://www.boerse-frankfurt.de/anleihe/de000a3h25p4-deutsche-wohnen-se-0-5-21-31,de000a3h25p4,#NAME?,deutsche-wohnen-se,0-5-21-31,0.5,21,31,1
https://www.boerse-frankfurt.de/anleihe/de000a3h25q2-deutsche-wohnen-se-1-3-21-41,de000a3h25q2,#NAME?,deutsche-wohnen-se,1-3-21-41,1.3,21,41,1
https://www.boerse-frankfurt.de/anleihe/de000a3mqs72-vonovia-se-2-375-22-32,de000a3mqs72,#NAME?,vonovia-se,2-375-22-32,2.375,22,32,1
https://www.boerse-frankfurt.de/anleihe/de000cb0hrq9-commerzbank-ag-0-75-20-26,de000cb0hrq9,#NAME?,commerzbank-ag,0-75-20-26,0.75,20,26,1
https://www.boerse-frankfurt.de/anleihe/de000cz45w57-commerzbank-ag-3-22-27,de000cz45w57,#NAME?,commerzbank-ag,3-22-27,3,22,27,1
https://www.boerse-frankfurt.de/anleihe/de000lb2v7c3-landesbank-baden-wuerttemberg-0-25-21-28,de000lb2v7c3,#NAME?,landesbank-baden-wuerttemberg,0-25-21-28,0.25,21,28,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0ac0-nrw-bank-0-875-15-25,de000nwb0ac0,#NAME?,nrw-bank,0-875-15-25,0.875,15,25,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0ad8-nrw-bank-0-375-16-26,de000nwb0ad8,#NAME?,nrw-bank,0-375-16-26,0.375,16,26,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0ae6-nrw-bank-0-5-17-27,de000nwb0ae6,#NAME?,nrw-bank,0-5-17-27,0.5,17,27,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0af3-nrw-bank-0-75-18-28,de000nwb0af3,#NAME?,nrw-bank,0-75-18-28,0.75,18,28,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0ag1-nrw-bank-0-625-19-29,de000nwb0ag1,#NAME?,nrw-bank,0-625-19-29,0.625,19,29,1
