Name,WKN
"Deutschland, Bundesrepublik 0,623% 14/30",103055
"Deutschland, Bundesrepublik 0,124% 15/26",103056
"Deutschland, Bundesrepublik 0,125% 15/46",103057
"Deutschland, Bundesrepublik 0,118% 21/33",103058
"Deutschland, Bundesrepublik 0,000% 20/30",103070
"Deutschland, Bundesrepublik 0,000% 20/25",103071
"Deutschland, Bundesrepublik 0,000% 21/31",103073
"Deutschland, Bundesrepublik 1,3% 22/27",103074
"Bayern, Freistaat 5,5% 98/28",105312
"Bayern, Freistaat 0,15% 20/30",105352
"Bayern, Freistaat 0,01% 20/29",105353
"Bayern, Freistaat 2,375% 24/33",105390
"Berlin, Land 6,25% 97/28",106232
"Deutschland, Bundesrepublik 2,5% 14/46",110234
"Deutschland, Bundesrepublik 0,5% 15/25",110237
"Deutschland, Bundesrepublik 1% 15/25",110238
"Deutschland, Bundesrepublik 0,5% 16/26",110239
"Deutschland, Bundesrepublik 0,000% 16/26",110240
"Deutschland, Bundesrepublik 0,25% 17/27",110241
"Deutschland, Bundesrepublik 0,5% 17/27",110242
"Deutschland, Bundesrepublik 1,25% 17/48",110243
"Deutschland, Bundesrepublik 0,5% 18/28",110244
"Deutschland, Bundesrepublik 0,25% 18/28",110245
"Deutschland, Bundesrepublik 0,25% 19/29",110246
"Deutschland, Bundesrepublik 0,000% 19/29",110247
"Deutschland, Bundesrepublik 0,000% 19/50",110248
"Deutschland, Bundesrepublik 0,000% 20/30",110249
"Deutschland, Bundesrepublik 0,000% 20/30",110250
"Deutschland, Bundesrepublik 0,000% 20/35",110251
"Deutschland, Bundesrepublik 0,000% 20/27",110252
"Deutschland, Bundesrepublik 0,000% 21/31",110253
"Deutschland, Bundesrepublik 0,000% 21/36",110254
"Deutschland, Bundesrepublik 0,000% 21/28",110255
"Deutschland, Bundesrepublik 0,000% 21/31",110256
"Deutschland, Bundesrepublik 0,000% 21/52",110257
"Deutschland, Bundesrepublik 0,000% 22/32",110258
"Deutschland, Bundesrepublik 1% 22/38",110259
"Deutschland, Bundesrepublik 1,7% 22/32",110260
"Deutschland, Bundesrepublik 1,8% 22/53",110261
"Deutschland, Bundesrepublik 2,1% 22/29",110262
"Deutschland, Bundesrepublik 0,000% 07/39",110850
"Deutschland, Bundesrepublik 0,000% 08/40",110854
"Deutschland, Bundesrepublik 6,5% 97/27",113504
"Deutschland, Bundesrepublik 5,625% 98/28",113506
"Deutschland, Bundesrepublik 4,75% 98/28",113508
"Deutschland, Bundesrepublik 6,25% 00/30",113514
"Deutschland, Bundesrepublik 5,5% 00/31",113517
"Deutschland, Bundesrepublik 4,75% 03/34",113522
"Deutschland, Bundesrepublik 4% 05/37",113527
"Deutschland, Bundesrepublik 4,25% 07/39",113532
"Deutschland, Bundesrepublik 4,75% 08/40",113536
"Deutschland, Bundesrepublik 3,25% 10/42",113543
"Deutschland, Bundesrepublik 2,5% 12/44",113548
"Deutschland, Bundesrepublik 0,000% 20/25",114181
"Deutschland, Bundesrepublik 0,000% 20/25",114182
"Deutschland, Bundesrepublik 0,000% 21/26",114183
"Deutschland, Bundesrepublik 0,000% 21/26",114184
"Deutschland, Bundesrepublik 0,000% 22/27",114185
"Deutschland, Bundesrepublik 1,3% 22/27",114186
"Deutschland, Bundesrepublik 0,000% 97/27",114203
"Deutschland, Bundesrepublik 0,000% 98/28",114205
"Deutschland, Bundesrepublik 0,000% 98/28",114207
"Deutschland, Bundesrepublik 0,000% 00/30",114213
"Deutschland, Bundesrepublik 0,000% 00/31",114216
"Deutschland, Bundesrepublik 0,000% 05/37",114226
"Deutschland, Bundesrepublik 0,000% 98/26",114259
"Deutschland, Bundesrepublik 0,000% 98/27",114260
"Deutschland, Bundesrepublik 0,000% 98/28",114261
"Deutschland, Bundesrepublik 0,000% 00/30",114263
"Deutschland, Bundesrepublik 0,000% 00/31",114264
"Deutschland, Bundesrepublik 0,000% 05/33",114266
"Deutschland, Bundesrepublik 0,000% 05/37",114270
"Deutschland, Bundesrepublik 0,000% 97/26",114329
"Deutschland, Bundesrepublik 0,000% 03/29",114332
"Deutschland, Bundesrepublik 0,000% 07/37",114340
"Frankreich, Republik 4,889% 02/32",123136
"United States of America 7,625% 95/25",127797
Inter-American Development Bank 7% 95/25,128747
"United States of America 6,875% 95/25",129360
"Argentinien, Republik 10,5% 95/02",130020
"AEGON Ltd. 0,496%",131247
United States of America 6% 96/26,131485
"Argentinien, Republik 11,25% 96/06",131950
"Canada, Government of... 8% 96/27",132430
"Argentinien, Republik 11,75% 96/11",132501
"AEGON Ltd. 1,425%",134182
"Deutsche Bank AG 0,000% 96/26",134224
International Business Machines Corp. 7% 95/25,134311
"Deutsche Bank AG 0,000% 96/26",134575
Swiss Re America Holding Corp. 7% 96/26,134659
"United States of America 6,5% 96/26",135037
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 00/32",159200
"United States of America 5,5% 98/28",175162
"Ford Motor Co. 6,625% 98/28",175839
"United States of America 5,25% 98/28",176880
"Sachsen, Freistaat 0,01% 20/25",178925
"Sachsen, Freistaat 0,01% 20/25",178927
"Sachsen, Freistaat 0,01% 20/27",178929
"Sachsen, Freistaat 0,01% 20/29",178930
"Sachsen, Freistaat 0,01% 20/35",178931
"Sachsen, Freistaat 0,01% 21/31",178933
"Sachsen, Freistaat 0,4% 21/36",178934
"Sachsen, Freistaat 2,875% 23/28",178935
"Landesbank Baden-WÃ¼rttemberg 3,476% 01/31",188217
"Italien, Republik 7,25% 96/26",189731
"United States of America 6,625% 97/27",190302
"European Bank for Reconstruction and Development 0,000% 97/27",190777
"Deutsche Bank AG 0,000% 97/27",191486
"European Bank for Reconstruction and Development 0,000% 97/27",191715
"AB Svensk Exportkredit 0,000% 97/27",191805
"Brasilien, FÃ¶derative Republik 10,125% 97/27",193117
"CoÃ¶peratieve Rabobank U.A. 0,000% 97/27",193572
"The Development Bank of Southern Africa 0,000% 97/27",194186
"United States of America 6,375% 97/27",194442
"ESKOM Holdings SOC Ltd. 0,000% 97/32",194448
"Venezuela, Bolivarische Republik 9,25% 97/27",195081
"Banque Centrale de Tunisie 8,25% 97/27",195236
"Panama, Republik 8,875% 97/27",195238
"United States of America 6,125% 97/27",196021
"International Bank for Reconstruction and Development 0,000% 97/28",196405
"Spanien, KÃ¶nigreich 6% 99/29",197017
"European Investment Bank (EIB) 5,625% 98/28",197309
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 6% 98/28",197365
"European Bank for Reconstruction and Development 0,000% 98/28",197401
"International Bank for Reconstruction and Development 0,000% 98/26",197418
"Finnland, Republik 6,95% 96/26",197513
"European Bank for Reconstruction and Development 0,000% 98/29",197517
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 0,000% 98/28",228232
"Frankreich, Republik 5,5% 97/29",230567
"Niederlande, KÃ¶nigreich der 5,5% 98/28",230570
Schweizerische Eidgenossenschaft 4% 98/28,230956
"South Africa, Republic of 10,5% 97/26",248489
"Vodafone Group PLC 5,9% 02/32",249002
"Italien, Republik 6% 98/28",249200
"Venezuela, Bolivarische Republik 13,625% 98/18",249380
"BNP Paribas S.A. 2,567%",254660
Schweizerische Eidgenossenschaft 4% 99/49,269202
"Equinor ASA 6,125% 98/28",271111
"IKB Deutsche Industriebank AG 4,698% 02/31",273086
"IKB Deutsche Industriebank AG 5,36% 02/31",273086
Kreditanstalt fÃ¼r Wiederaufbau 6% 00/28,276444
"Kreditanstalt fÃ¼r Wiederaufbau 5,75% 01/32",276445
"Nokia of America Corp. 6,45% 99/29",294959
Transnet SOC Ltd. 10% 99/29,296575
European Investment Bank (EIB) 5% 99/39,299865
"Buenos Aires, Province of... 9,75% 99/04",304040
"British Telecommunications PLC 5,75% 99/28",304399
"Italien, Republik 4,25% 99/29",308829
"Ford Motor Co. 7,45% 99/31",319481
MAGNUM AG GEN.03 S.2,325570
"Meta Wolf AG 6,75% 98/05",350417
"Verizon Communications Inc. 6,94% 98/28",352582
"Quebec, Provinz 7,5% 99/29",352584
"AEGON Ltd. 6,125% 99/31",354513
ConAgra Brands Inc. 7% 98/28,355396
"HSBC Holdings PLC 5,75% 02/27",380127
"JPMorgan Chase & Co. 7,75% 95/25",381108
"Transocean Inc. 7,5% 01/31",404764
"Frankreich, Republik 6% 93/25",413038
"The Dow Chemical Co. 7,375% 99/29",450258
"Federal National Mortgage Association 7,125% 00/30",452567
"United States of America 6,25% 99/30",452647
"Brasilien, FÃ¶derative Republik 12,25% 00/30",453122
"Series D Euro-DM Securities Ltd. 0,000% 86/26",477847
"Koninklijke Luchtvaart Maatschappij N.V. 5,75%",478332
"Scandinavian Airlines System 0,625%",482936
BERTELSMANN  GENSCH.,522990
BERTELSMANN  GEN.2001,522994
"Ecuador, Republik 10% 00/30",526864
"Uruguay, Republik 7,875% 03/33",547858
"Norddeutsche Landesbank -Girozentrale- 3,386% 00/30",555406
"VERION AG 8,5% 03/14",556869
"Arrow Electronics Inc. 7,5% 97/27",566732
"Ontario, Provinz 6,2% 00/31",568056
"HSBC Bank PLC 6,25% 00/41",571859
"Citigroup Inc. 6,625% 98/28",572310
"Kolumbien, Republik 10,375% 03/33",589381
"AXA S.A. 8,6% 00/30",600389
"Spanien, KÃ¶nigreich 5,75% 02/32",607762
"Mercedes-Benz Finance North America LLC 8,5% 01/31",608814
"SNCF RÃ©seau S.A. 5,25% 01/35",609773
"United States of America 5,375% 01/31",610743
"Deutsche Telekom International Finance B.V. 8,75% 00/30",614684
MAGNUM AG GEN.99/UNB.,650155
"Frankreich, Republik 5,75% 00/32",686543
"Caisse Francaise de Financement Local 5,5% 01/26",689085
"ElectricitÃ© de France S.A. (E.D.F.) 5,875% 01/31",695510
"Isle of Man 5,375% 01/34",701495
"Johnson & Johnson 4,95% 03/33",705187
"Verizon Communications Inc. 7,75% 02/32",709789
"Barclays Bank PLC 5,75% 01/26",716483
"Telecom Italia Finance S.A. 7,75% 03/33",724183
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 5% 01/25",748136
"United States of America 5,983% 01/32",748490
"E.ON International Finance B.V. 5,75% 03/33",748537
"TelefÃ³nica Europe B.V. 5,875% 03/33",753897
"ElectricitÃ© de France S.A. (E.D.F.) 5,625% 03/33",755460
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 03/36",777309
Citigroup Inc. 6% 03/33,808929
"Veolia Environnement S.A. 6,125% 03/33",816814
"Prudential PLC 6,125% 01/31",826407
"GlaxoSmithKline Capital PLC 5,25% 01/33",826828
"Dwr Cymru [Financing] UK PLC 6,015% 01/28",829223
SNCF RÃ©seau S.A. 5% 02/52,846099
"SNCF S.A. 5,375% 02/27",850639
"Marathon Oil Corp. 6,8% 02/32",850773
"Italien, Republik 5,75% 02/33",851356
"3M Co. 6,375% 98/28",852945
"El Salvador, Republik 8,25% 02/32",854070
"E.ON International Finance B.V. 6,375% 02/32",857743
"Deutsche Telekom International Finance B.V. 9,25% 02/32",858360
"IKB Funding Trust I 4,845%",859275
"Tennessee Valley Authority 4,625% 03/43",890645
"Schweizerische Eidgenossenschaft 3,5% 03/33",892656
"Royal Caribbean Cruises Ltd. 7,5% 97/27",899749
Gie PSA Tresorerie 6% 03/33,905497
"Italien, Republik 5% 03/34",907835
"Bahamas, Commonwealth of ... 6,625% 03/33",984106
Artesian Finance II PLC 6% 03/33,985049
"Vodafone Group PLC 5,625% 03/25",A0AARK
"TÃ¼rkei, Republik 8% 04/34",A0ABV4
"Venezuela, Bolivarische Republik 9,375% 04/34",A0ABV5
"Brasilien, FÃ¶derative Republik 8,25% 04/34",A0ACBP
"Frankreich, Republik 4,75% 03/35",A0AXNP
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,75% 04/38",A0BA2W
"Griechenland, Republik 5,2% 04/34",A0BBG6
"Belgien, KÃ¶nigreich 5% 04/35",A0BCKS
"CrÃ©dit Mutuel ArkÃ©a 2,977%",A0BECW
"CrÃ©dit Mutuel ArkÃ©a 2,451%",A0BECW
"ZÃ¼rich, Stadt 2,75% 05/25",A0D03Z
"MBIA Inc. 7,15% 97/27",A0D0U6
Hybrid Capital Funding I L.P. 8%,A0D1KQ
"Venezuela, Bolivarische Republik 7,65% 05/25",A0D1YH
"Deutsche Postbank Funding Trust III 2,912%",A0D24Z
European Investment Bank (EIB) 4% 05/37,A0D27C
"Niederlande, KÃ¶nigreich der 4% 05/37",A0D2B5
Hybrid Capital Funding II L.P. 6%,A0D2FH
"Generalitat de Catalunya 4,22% 05/35",A0D2GT
"Bank of America Corp. 6,75% 98/28",A0D2PB
Endurance Specialty Holdings Ltd. 7% 04/34,A0DADU
"AEGON Ltd. 2,671%",A0DAFX
AEGON Ltd. 4%,A0DAFY
"El Salvador, Republik 7,625% 04/34",A0DC59
"Telecom Italia Capital S.A. 6,375% 03/33",A0DD8E
"Vereinigte Mexikanische Staaten 6,75% 04/34",A0DDHM
"Generalitat de Catalunya 4,69% 04/34",A0DE16
"Deutsche Postbank Funding Trust I 2,244%",A0DEN7
"EnBW International Finance B.V. 4,875% 04/25",A0DG9U
"AXA S.A. 3,75%",A0DHJ4
"Argentinien, Republik 0,000%",A0DUDM
"Spanien, KÃ¶nigreich 4,2% 05/37",A0DW8E
"Philippinen, Republik der 9,5% 05/30",A0DX08
"Bank of Scotland PLC 2,5% 05/35",A0DX0B
AXA S.A. 3%,A0DXAK
"TÃ¼rkei, Republik 7,375% 05/25",A0DXCJ
"Citigroup Inc. 4,25% 05/30",A0DY5Z
"PetrÃ³leos Mexicanos 5,5% 05/25",A0DY6J
"Brasilien, FÃ¶derative Republik 8,75% 05/25",A0DYAH
"International Bank for Reconstruction and Development 4,75% 05/35",A0DYEY
"Frankreich, Republik 4% 04/55",A0DZFW
"Glencore Canada Corp. 6,2% 05/35",A0E50Z
GlaxoSmithKline Capital PLC 4% 05/25,A0E581
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 05/55",A0E5TB
"SÃ¼dzucker International Finance B.V. 5,783%",A0E6FU
"SÃ¼dzucker International Finance B.V. 6,445%",A0E6FU
"Mailand, Stadt 4,019% 05/35",A0E6WX
"Ã–sterreich, Republik 4,313% 05/25",A0E7MP
"Peru, Republik 7,35% 05/25",A0E7PD
"PARPÃšBLICA - ParticipaÃ§Ãµes PÃºblicas S.G.P.S. S.A. 4,2% 06/26",A0G1N5
"Hutchison Whampoa Finance [UK] PLC 5,625% 06/26",A0G2GF
"Ã–sterreich, Republik 4,15% 06/37",A0G4X4
"GE Aerospace 4,125% 05/35",A0GFB8
"Vantiva S.A. 5,75%",A0GFX3
"Italien, Republik 4% 05/37",A0GG8H
"Ã–sterreich, Republik 2,872% 05/35",A0GHP5
"Reinsurance Group of America Inc. 7,873% 05/65",A0GKXZ
"Brasilien, FÃ¶derative Republik 7,125% 06/37",A0GL1X
"Southern Gas Networks PLC 4,875% 05/29",A0GLK1
"TÃ¼rkei, Republik 6,875% 06/36",A0GLU5
"United States of America 4,5% 06/36",A0GM7Y
"European Investment Bank (EIB) 1,9% 06/26",A0GMFC
"Panama, Republik 6,7% 06/36",A0GMJZ
"PetrÃ³leos Mexicanos 6,625% 05/35",A0GMML
"Banco Santander S.A. 3,875% 06/26",A0GMTA
"Teva Pharmaceutical Finance Co. LLC 6,15% 06/36",A0GMZX
"Schweizerische Eidgenossenschaft 2,5% 06/36",A0GN3R
"Saskatchewan, Provinz 5% 05/37",A0GNYG
"Portugal, Republik 4,1% 06/37",A0GP0C
"Transport for London 4,5% 06/31",A0GP1Z
"Pakistan, Islamische Republik 7,875% 06/36",A0GQGA
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 06/46",A0GTJG
"Development Bank of Japan 2,3% 06/26",A0GTLV
"AXA S.A. 6,686%",A0GVDJ
"Wellcome Trust Finance PLC 4,625% 06/36",A0GVWL
"South Africa, Republic of 6,25% 06/36",A0GWHQ
"Frankreich, Republik 4% 05/38",A0GX3N
"Ford Holdings Inc. 9,3% 98/30",A0GXUC
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 06/27",A0GZPU
"Kreditanstalt fÃ¼r Wiederaufbau 4,7% 06/37",A0JFFJ
SALVATOR VV.T2 IN.GEN.UN.,A0JND0
"Howmet Aerospace Inc. 5,9% 07/27",A0LL03
"Howmet Aerospace Inc. 5,95% 07/37",A0LL04
"United States of America 4,75% 07/37",A0LMWD
Vereinigte Mexikanische Staaten 10% 06/36,A0LMZD
"Vereinigte Mexikanische Staaten 7,5% 06/27",A0LMZE
"Singapur, Republik 3,5% 07/27",A0LN35
"American International Group Inc. 6,25% 07/87",A0LPQY
"AT & T Inc. 5,5% 07/27",A0LPU0
"Honeywell International Inc. 5,7% 07/37",A0LPXL
United States of America 5% 07/37,A0N1BM
"GE Aerospace 6,15% 07/37",A0N1CB
"Investor AB 5,5% 07/37",A0NT37
"Banco Santander S.A. 4,625% 07/27",A0NT3B
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,5% 07/42",A0NXJV
"Spanien, KÃ¶nigreich 4,9% 07/40",A0NXYY
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 08/49",A0T09N
"Polen, Republik 5,75% 08/29",A0T1N9
"Deutsche Telekom International Finance B.V. 8,875% 08/28",A0T33L
"ElectricitÃ© de France S.A. (E.D.F.) 6,95% 09/39",A0T569
"TransCanada PipeLines Ltd. 7,625% 09/39",A0T5Q5
GE Capital UK Funding Unlimited Company 8% 09/39,A0T5VE
"Amgen Inc. 6,4% 09/39",A0T5ZW
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,25% 09/39",A0T7C9
"Vattenfall AB 6,875% 09/39",A0T8NJ
"Microsoft Corp. 5,2% 09/39",A0T924
"European Investment Bank (EIB) 4,5% 09/25",A0T9H4
"United States of America 4,25% 09/39",A0T9JP
"Time Warner Cable LLC 6,55% 07/37",A0TKTB
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 4,75% 07/30",A0TKXA
"Tesco PLC 6,15% 07/37",A0TL13
"Italien, Republik 5% 07/39",A0TLHC
"E.ON International Finance B.V. 5,875% 07/37",A0TLLP
"Venezuela, Bolivarische Republik 7% 07/38",A0TMMA
"Aetna Inc. 6,75% 07/37",A0TNA2
"Nucor Corp. 6,4% 07/37",A0TNAD
"Kongo, Republik 6% 07/29",A0TNYM
"UnitedHealth Group Inc. 6,5% 07/37",A0TP95
"UnitedHealth Group Inc. 6,625% 07/37",A0TP99
"United States of America 4,375% 08/38",A0TQ21
"TÃ¼rkei, Republik 7,25% 08/38",A0TSA5
"GE Capital European Funding Unlimited Company 6,025% 08/38",A0TSC4
"Koninklijke Philips N.V. 6,875% 08/38",A0TSK6
"Veolia Environnement S.A. 6,75% 08/38",A0TV5K
"GlaxoSmithkline Capital Inc. 6,375% 08/38",A0TVAH
"Aviva PLC 6,875% 08/58",A0TVK6
"Philip Morris International Inc. 6,375% 08/38",A0TVMW
"JPMorgan Chase & Co. 6,4% 08/38",A0TVVR
"Canada, Government of... 4% 08/41",A0TWQ5
"United States of America 4,5% 08/38",A0TZRW
"Quebec, Provinz 5% 09/41",A0UVU7
"British Columbia, Provinz 4,7% 06/37",A0VAL4
"Argentinien, Republik 3,38% 09/38",A0VTZ1
Landwirtschaftliche Rentenbank 2% 15/25,A11QFK
"Landwirtschaftliche Rentenbank 2,375% 15/25",A11QFL
"Kreditanstalt fÃ¼r Wiederaufbau 0,625% 15/25",A11QTD
"Landwirtschaftliche Rentenbank 0,375% 16/26",A12TZ0
"adidas AG 2,25% 14/26",A13R5E
"German Pellets GmbH 7,25% 14/19",A13R5N
"SeniVita Social Estate AG 8,5% 20/25",A13SHL
"RWE AG 6,625% 15/75",A13SHX
"SAP SE 1,75% 14/27",A13SL3
"Berlin, Land 0,25% 15/25",A14J3F
Steilmann SE 7% 15/17,A14J4G
JAPIC 1 Beteiligungs GmbH 1% 15/28,A14J55
"thyssenkrupp AG 2,5% 15/25",A14J58
"METRO AG 1,5% 15/25",A14J83
"Allianz SE 2,241% 15/45",A14J9N
"Baden-WÃ¼rttemberg, Land 0,625% 15/25",A14JYT
"Baden-WÃ¼rttemberg, Land 0,625% 15/27",A14JYW
"Baden-WÃ¼rttemberg, Land 0,625% 16/26",A14JYZ
"Baden-WÃ¼rttemberg, Land 3,268% 24/29",A14JZ1
"Baden-WÃ¼rttemberg, Land 2,875% 24/31",A14JZ4
"Baden-WÃ¼rttemberg, Land 3,62% 24/28",A14JZ5
"Baden-WÃ¼rttemberg, Land 0,01% 21/31",A14JZS
"Baden-WÃ¼rttemberg, Land 3% 23/33",A14JZX
"Baden-WÃ¼rttemberg, Land 3,62% 23/29",A14JZY
"RWE AG 3,5% 15/75",A14KAB
"Niedersachsen, Land 1,033% 15/25",A14KF8
SAP SE 1% 15/25,A14KJF
Kreditanstalt fÃ¼r Wiederaufbau 2% 15/25,A161HU
"Joh. Friedrich Behrens AG 7,75% 15/20",A161Y5
"Deutsche Lufthansa AG 4,382% 15/75",A161YP
"Canada, Government of... 1,5% 15/26",A163MA
Gothaer Allgemeine Versicherung AG 6% 15/45,A16847
"Deutsche BÃ¶rse AG 1,625% 15/25",A1684V
"Hamburg, Freie und Hansestadt 0,625% 17/27",A1685W
"Energiekontor Finanzanlagen IV GmbH & Co. KG 5,5% 16/26",A16861
"Kreditanstalt fÃ¼r Wiederaufbau 1,25% 16/36",A168Y4
"Kreditanstalt fÃ¼r Wiederaufbau 0,375% 16/26",A168Y5
"Mercedes-Benz Group AG 1,375% 16/28",A169NC
"United States of America 2,5% 16/46",A18044
Linde Finance B.V. 1% 16/28,A180B3
"Frankreich, Republik 1,75% 15/66",A180CR
"Iberdrola International B.V. 1,125% 16/26",A180HH
"Italien, Republik 2,25% 16/36",A180KM
"Ontario, Provinz 2,5% 16/26",A180PR
"CrÃ©dit Agricole S.A. 0,000% 16/26",A180WH
"Citigroup Inc. 3,4% 16/26",A180XA
"RumÃ¤nien, Republik 2,875% 16/28",A1814W
"RumÃ¤nien, Republik 2,875% 16/28",A1815D
"Airbus SE 0,875% 16/26",A181L6
"National Australia Bank Ltd. 1,25% 16/26",A181MU
"Eli Lilly and Company 0,45% 16/28",A181N2
"Australia, Commonwealth of... 2,25% 15/28",A181PV
"Spanien, KÃ¶nigreich 3,45% 16/66",A181RK
"Boardwalk Pipelines LP 5,95% 16/26",A181RM
"Boeing Co. 2,25% 16/26",A181SY
"Boeing Co. 3,375% 16/46",A181SZ
"Pfandbriefbank schweizerischer Hypothekarinstitute AG 0,125% 16/27",A181TK
"Intel Corp. 2,6% 16/26",A181V3
"4Finance S.A. 11,25% 16/28",A181ZP
"Schweizerische Eidgenossenschaft 0,000% 16/29",A1822H
"International Bank for Reconstruction and Development 5,25% 15/25",A18268
"Genf, Kanton 0,6% 16/46",A182PL
Western Australian Treasury Corp. 3% 16/27,A182Q7
"Reinsurance Group of America Inc. 3,95% 16/26",A182R8
TenneT Holding B.V. 1% 16/26,A182UP
"Apple Inc. 3,6% 16/26",A182V0
"Wells Fargo & Co. 4,4% 16/46",A182ZV
"Raymond James Financial Inc. 4,95% 16/46",A1833S
"Suzano Austria GmbH 5,75% 16/26",A1833U
"Evergy Kansas Central Inc. 2,55% 16/26",A183B1
"Kinder Spital ZÃ¼rich 0,25% 16/28",A183KF
"Kinder Spital ZÃ¼rich 0,75% 16/36",A183KG
"Western Midstream Operating L.P. 4,65% 16/26",A183V8
"Asian Development Bank (ADB) 1,75% 16/26",A18429
"Teva Pharmaceutical Finance Netherlands III B.V. 3,15% 16/26",A184FQ
Kraft Heinz Foods Co. 3% 16/26,A184LR
"Consumers Energy Co. 3,25% 16/46",A184Q1
"Microsoft Corp. 2,4% 16/26",A184SD
"United States of America 1,5% 16/26",A184Y3
"United States of America 2,25% 16/46",A184Y4
"The Home Depot Inc. 3,5% 16/56",A18539
"Iberdrola International B.V. 0,375% 16/25",A1856Y
"Southern Company Gas Capital Corp. 3,95% 16/46",A18575
"MPLX L.P. 4,875% 16/25",A185XC
"European Investment Bank (EIB) 0,5% 16/37",A1866N
"African Development Bank 0,125% 16/26",A1868Z
"3M Co. 2,25% 16/26",A186JU
"Raiffeisenlandesbank OberÃ¶sterreich AG 0,375% 16/26",A186S5
"Asian Development Bank (ADB) 6,2% 16/26",A186V9
"Korea National Oil Corp. 2,5% 16/26",A1871Z
Wells Fargo & Co. 3% 16/26,A18784
Enel Americas S.A. 4% 16/26,A18799
"United Parcel Service Inc. 3,4% 16/46",A1879N
"Italien, Republik 2,8% 16/67",A187GC
"European Investment Bank (EIB) 0,25% 16/29",A187GX
"RumÃ¤nien, Republik 3,65% 16/31",A187L4
ElectricitÃ© de France S.A. (E.D.F.) 1% 16/26,A187LB
"European Investment Bank (EIB) 0,875% 16/47",A187P0
"Phillips 66 Partners LP 3,55% 16/26",A187TK
"Australia, Commonwealth of... 3% 16/47",A187U8
"Ecolab Inc. 2,7% 16/26",A187XE
"GroÃŸbritannien und Nord-Irland, Vereinigtes KÃ¶nigreich 1,75% 16/37",A18818
"Provincia de CÃ³rdoba 7,125% 16/26",A1884G
SNCF RÃ©seau S.A. 1% 16/31,A188E2
"Ã–sterreich, Republik 1,5% 16/86",A188ER
"Merlin Properties SOCIMI S.A. 1,875% 16/26",A188JM
United States of America 2% 16/26,A188TG
"Becton, Dickinson & Co. 1,9% 16/26",A1894H
"Keurig Dr Pepper Inc. 3,43% 16/27",A18987
"Keurig Dr Pepper Inc. 4,42% 16/46",A18988
"Ford Motor Co. 4,346% 16/26",A18989
"Caisse Francaise de Financement Local 1,125% 16/31",A189UC
"Lockheed Martin Corp. 4,5% 15/36",A18U25
"Lockheed Martin Corp. 4,7% 15/46",A18U26
"Hiscox Ltd. 6,125% 15/45",A18U82
"Grupo Televisa S.A.B. de C.V. 6,125% 15/46",A18U8S
"United States of America 2,25% 15/25",A18URF
United States of America 3% 15/45,A18URG
"Halliburton Co. 3,8% 15/25",A18URL
"Paris, Stadt 1,75% 15/31",A18UWE
"McDonald's Corp. 4,7% 15/35",A18VU8
"McDonald's Corp. 3,7% 15/26",A18VUZ
"Portugal, Republik 2,875% 16/26",A18W15
"Spanien, KÃ¶nigreich 1,95% 16/26",A18W1C
"Belgien, KÃ¶nigreich 1% 16/26",A18W1U
"Nationwide Building Society 3,25% 16/28",A18W1V
"European Investment Bank (EIB) 1,75% 16/26",A18W1Y
"Banco Santander S.A. 1,5% 16/26",A18W1Z
BNG Bank N.V. 1% 16/26,A18WM4
"Irland, Republik 1% 16/26",A18WS0
"Swire Properties MTN Financing Ltd. 3,625% 16/26",A18WSR
