URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,WKN
https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,xs2694874533,#NAME?,volkswagen-leasing-gmbh,4-75-23-31,4.75,23,31,1,A3514V
https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,#NAME?,rwe-ag,2-75-22-30,2.75,22,30,1,A30VJF
https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,de000a3lh6t7,#NAME?,mercedes-benz-international-finance-b-v,3-5-23-26,3.5,23,26,1,A3LH6T
https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,xs2694872594,#NAME?,volkswagen-leasing-gmbh,4-625-23-29,4.625,23,29,1,A3514U
https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,#NAME?,rwe-ag,2-125-22-26,2.125,22,26,1,A30VJE
https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,#NAME?,ungarn-republik,1-75-20-35,1.75,20,35,1,A28X86
https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,#NAME?,rwe-ag,4-125-23-35,4.125,23,35,1,A30V84
https://www.boerse-frankfurt.de/anleihe/xs2673536541-e-on-se-3-75-23-29,xs2673536541,#NAME?,e-on-se,3-75-23-29,3.75,23,29,1,A351VG
https://www.boerse-frankfurt.de/anleihe/be6332786449-vgp-n-v-1-625-22-27,be6332786449,#NAME?,vgp-n-v,1-625-22-27,1.625,22,27,1,A3K01K
https://www.boerse-frankfurt.de/anleihe/ca45950kde79-international-finance-corp-4-5-23-26,ca45950kde79,#NAME?,international-finance-corp,4-5-23-26,4.5,23,26,1,A3LMAB
https://www.boerse-frankfurt.de/anleihe/de000a289dc9-basf-se-0-25-20-27,de000a289dc9,#NAME?,basf-se,0-25-20-27,0.25,20,27,1,A289DC
