Name,Clean_Company_Maturity,WKN,URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,#NAME?,e on se,0 375 20 27,0.375,20,27,1
"E.ON SE 0,375% 20/27",e on se 0 375 20 27,A254QR,https://www.boerse-frankfurt.de/anleihe/xs2103014291-e-on-se-0-375-20-27,xs2103014291,e-on-se-0-375-20-27,e on se,0 375 20 27,0.375,20,27,0
"E.ON SE 0,75% 20/30",e on se 0 75 20 30,A254QS,https://www.boerse-frankfurt.de/anleihe/xs2103014457-e-on-se-0-75-20-30,xs2103014457,e-on-se-0-75-20-30,e on se,0 75 20 30,0.75,20,30,0
"Landwirtschaftliche Rentenbank 0,000% 21/31",landwirtschaftliche rentenbank 0 000 21 31,A27DLN,https://www.boerse-frankfurt.de/anleihe/xs2359292955-landwirtschaftliche-rentenbank-0-000-21-31,xs2359292955,#NAME?,landwirtschaftliche rentenbank,0 000 21 31,0,21,31,1
"Landwirtschaftliche Rentenbank 0,000% 21/31",landwirtschaftliche rentenbank 0 000 21 31,A27DLN,https://www.boerse-frankfurt.de/anleihe/xs2359292955-landwirtschaftliche-rentenbank-0-000-21-31,xs2359292955,landwirtschaftliche-rentenbank-0-000-21-31,landwirtschaftliche rentenbank,0 000 21 31,0,21,31,0
"De Volksbank N.V. 1,75% 20/30",de volksbank n v 1 75 20 30,A280AJ,https://www.boerse-frankfurt.de/anleihe/xs2202902636-de-volksbank-n-v-1-75-20-30,xs2202902636,#NAME?,de volksbank n v,1 75 20 30,1.75,20,30,1
"De Volksbank N.V. 1,75% 20/30",de volksbank n v 1 75 20 30,A280AJ,https://www.boerse-frankfurt.de/anleihe/xs2202902636-de-volksbank-n-v-1-75-20-30,xs2202902636,de-volksbank-n-v-1-75-20-30,de volksbank n v,1 75 20 30,1.75,20,30,0
"Terna Rete Elettrica Nazionale S.p.A. 0,75% 20/32",terna rete elettrica nazionale s p a 0 75 20 32,A280DH,https://www.boerse-frankfurt.de/anleihe/xs2209023402-terna-rete-elettrica-nazionale-s-p-a-0-75-20-32,xs2209023402,#NAME?,terna rete elettrica nazionale s p a,0 75 20 32,0.75,20,32,1
"Terna Rete Elettrica Nazionale S.p.A. 0,75% 20/32",terna rete elettrica nazionale s p a 0 75 20 32,A280DH,https://www.boerse-frankfurt.de/anleihe/xs2209023402-terna-rete-elettrica-nazionale-s-p-a-0-75-20-32,xs2209023402,terna-rete-elettrica-nazionale-s-p-a-0-75-20-32,terna rete elettrica nazionale s p a,0 75 20 32,0.75,20,32,0
"KommuneKredit 0,125% 20/40",kommunekredit 0 125 20 40,A281Y7,https://www.boerse-frankfurt.de/anleihe/xs2226280084-kommunekredit-0-125-20-40,xs2226280084,#NAME?,kommunekredit,0 125 20 40,0.125,20,40,1
"KommuneKredit 0,125% 20/40",kommunekredit 0 125 20 40,A281Y7,https://www.boerse-frankfurt.de/anleihe/xs2226280084-kommunekredit-0-125-20-40,xs2226280084,kommunekredit-0-125-20-40,kommunekredit,0 125 20 40,0.125,20,40,0
"ERG S.p.A. 0,5% 20/27",erg s p a 0 5 20 27,A282EE,https://www.boerse-frankfurt.de/anleihe/xs2229434852-erg-s-p-a-0-5-20-27,xs2229434852,#NAME?,erg s p a,0 5 20 27,0.5,20,27,1
"ERG S.p.A. 0,5% 20/27",erg s p a 0 5 20 27,A282EE,https://www.boerse-frankfurt.de/anleihe/xs2229434852-erg-s-p-a-0-5-20-27,xs2229434852,erg-s-p-a-0-5-20-27,erg s p a,0 5 20 27,0.5,20,27,0
"Unipol Assicurazioni S.p.A. 3,25% 20/30",unipol assicurazioni s p a 3 25 20 30,A282SR,https://www.boerse-frankfurt.de/anleihe/xs2237434803-unipol-assicurazioni-s-p-a-3-25-20-30,xs2237434803,#NAME?,unipol assicurazioni s p a,3 25 20 30,3.25,20,30,1
"Unipol Assicurazioni S.p.A. 3,25% 20/30",unipol assicurazioni s p a 3 25 20 30,A282SR,https://www.boerse-frankfurt.de/anleihe/xs2237434803-unipol-assicurazioni-s-p-a-3-25-20-30,xs2237434803,unipol-assicurazioni-s-p-a-3-25-20-30,unipol assicurazioni s p a,3 25 20 30,3.25,20,30,0
"Volkswagen International Finance N.V. 0,875% 20/28",volkswagen international finance n v 0 875 20 28,A282U1,https://www.boerse-frankfurt.de/anleihe/xs2234567233-volkswagen-international-finance-n-v-0-875-20-28,xs2234567233,#NAME?,volkswagen international finance n v,0 875 20 28,0.875,20,28,1
"Volkswagen International Finance N.V. 0,875% 20/28",volkswagen international finance n v 0 875 20 28,A282U1,https://www.boerse-frankfurt.de/anleihe/xs2234567233-volkswagen-international-finance-n-v-0-875-20-28,xs2234567233,volkswagen-international-finance-n-v-0-875-20-28,volkswagen international finance n v,0 875 20 28,0.875,20,28,0
"Volkswagen International Finance N.V. 1,25% 20/32",volkswagen international finance n v 1 25 20 32,A282U2,https://www.boerse-frankfurt.de/anleihe/xs2234567662-volkswagen-international-finance-n-v-1-25-20-32,xs2234567662,#NAME?,volkswagen international finance n v,1 25 20 32,1.25,20,32,1
"Volkswagen International Finance N.V. 1,25% 20/32",volkswagen international finance n v 1 25 20 32,A282U2,https://www.boerse-frankfurt.de/anleihe/xs2234567662-volkswagen-international-finance-n-v-1-25-20-32,xs2234567662,volkswagen-international-finance-n-v-1-25-20-32,volkswagen international finance n v,1 25 20 32,1.25,20,32,0
"Instituto de Credito Oficial 0,000% 20/26",instituto de credito oficial 0 000 20 26,A28395,https://www.boerse-frankfurt.de/anleihe/xs2250026734-instituto-de-credito-oficial-0-000-20-26,xs2250026734,#NAME?,instituto de credito oficial,0 000 20 26,0,20,26,1
