URL,time,bid,ask,bid_for_x_nominal,ask_for_x_nominal,difference_to_day_before,spread_absolute_relative
https://www.boerse-frankfurt.de/anleihe/xs2893176862-abn-amro-bank-n-v-6-375,13.01.25 10:11:21,"101,01","102,05",1,2,N/A,"1,04 / 1,03%"
https://www.boerse-frankfurt.de/anleihe/us900123cg37-tuerkei-republik-6-625-14-45,13.01.25 10:13:27,"82,45","82,86",200,200,"0,84 / 1,02%","0,41 / 0,50%"
https://www.boerse-frankfurt.de/anleihe/gb00bpcjd880-grossbritannien-und-nord-irland-vereinigtes-koenigreich-3-5-23-25,13.01.25 10:05:05,"99,08","99,16",50,50,"0,19 / 0,19%","0,08 / 0,08%"
https://www.boerse-frankfurt.de/anleihe/us91282cbs98-united-states-of-america-1-25-21-28,13.01.25 10:16:02,"90,275","90,385",2,2,"-0,19 / -0,21%","0,09 / 0,10%"
https://www.boerse-frankfurt.de/anleihe/xs2502885499-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-3-4-22-26,13.01.25 09:19:08,"97,31","97,81",50,50,"0,36 / 0,37%","0,50 / 0,51%"
https://www.boerse-frankfurt.de/anleihe/de000bu22072-deutschland-bundesrepublik-2-24-26,13.01.25 10:14:52,"99,415","99,425",1,1,"-0,08 / -0,08%","0,01 / 0,01%"
https://www.boerse-frankfurt.de/anleihe/fi4000550249-finnland-republik-3-23-33,13.01.25 10:14:00,"99,88","100,02",100,100,"-0,27 / -0,27%","0,14 / 0,14%"
https://www.boerse-frankfurt.de/anleihe/xs2832873355-fraport-ag-frankfurt-airport-services-worldwide-4-25-24-32,13.01.25 10:16:13,"102,10","102,54",200,200,"0,09 / 0,09%","0,44 / 0,43%"
https://www.boerse-frankfurt.de/anleihe/es0000012j15-spanien-koenigreich-0-000-21-27,13.01.25 10:12:52,"95,06","95,11",1,1,"-0,11 / -0,12%","0,05 / 0,05%"
https://www.boerse-frankfurt.de/anleihe/de000bu2z049-deutschland-bundesrepublik-2-5-25-35,13.01.25 10:18:10,"98,825","98,895",1,1,"-0,29 / -0,29%","0,07 / 0,07%"
https://www.boerse-frankfurt.de/anleihe/de0001102382-deutschland-bundesrepublik-1-15-25,13.01.25 10:16:50,"99,13","99,14",5,5,N/A,"0,01 / 0,01%"
https://www.boerse-frankfurt.de/anleihe/de000bu22023-deutschland-bundesrepublik-3-1-23-25,13.01.25 10:13:12,"100,365","100,375",5,5,"-0,015 / -0,01%","0,01 / 0,01%"
https://www.boerse-frankfurt.de/anleihe/eu000a2scad0-european-financial-stability-facility-efsf-1-5-22-25,13.01.25 10:16:54,"99,04","99,34",50,50,"-0,06 / -0,06%","0,30 / 0,30%"
https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,13.01.25 10:15:01,"104,00","104,14",20,2,"-0,37 / -0,35%","0,14 / 0,13%"
https://www.boerse-frankfurt.de/anleihe/xs2589790109-siemens-financieringsmaatschappij-n-v-3-375-23-31,13.01.25 09:39:00,"101,405","101,905",100,100,"-0,005 / 0,00%","0,50 / 0,49%"
https://www.boerse-frankfurt.de/anleihe/xs2745725155-volkswagen-leasing-gmbh-3-875-24-28,13.01.25 10:18:49,"100,38","101,14",2,2,"0,40 / 0,40%","0,76 / 0,76%"
https://www.boerse-frankfurt.de/anleihe/xs2842061421-heidelberg-materials-ag-3-95-24-34,13.01.25 10:21:38,"100,63","101,22",30,25,N/A,"0,59 / 0,59%"
https://www.boerse-frankfurt.de/anleihe/de000a30vjw3-pne-ag-5-22-27,13.01.25 09:25:48,"100,00","100,50",8,105,N/A,"0,50 / 0,50%"
https://www.boerse-frankfurt.de/anleihe/xs2802892054-porsche-automobil-holding-se-4-125-24-32,13.01.25 10:22:53,"99,57","99,77",100,100,"-0,21 / -0,21%","0,20 / 0,20%"
https://www.boerse-frankfurt.de/anleihe/fr0013414158-ile-de-france-mobilites-1-19-34,13.01.25 10:23:10,"78,70","79,54",2,2,"-0,04 / -0,05%","0,84 / 1,07%"
https://www.boerse-frankfurt.de/anleihe/us91282cjj18-united-states-of-america-4-5-23-33,13.01.25 10:22:47,"98,01","98,06",100,100,"-0,20 / -0,20%","0,05 / 0,05%"
https://www.boerse-frankfurt.de/anleihe/xs1828033834-deutsche-telekom-international-finance-b-v-2-18-29,13.01.25 10:19:01,"96,115","96,415",200,200,N/A,"0,30 / 0,31%"
https://www.boerse-frankfurt.de/anleihe/de000bu27006-deutschland-bundesrepublik-2-4-23-30,13.01.25 10:23:55,"99,75","99,80",1,1,"-0,215 / -0,22%","0,05 / 0,05%"
https://www.boerse-frankfurt.de/anleihe/no0012888769-katjes-international-gmbh-co-kg-6-75-23-28,13.01.25 09:08:58,"107,55","108,40",3,50,N/A,"0,85 / 0,79%"
