Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Lar Espana Real Estate SOCIMI S.A. 1,75% 21/26",A3KUAY,"99,09",21.01.25 14:55,297.270,"0,91","1,75%",Euro,-
"European Investment Bank (EIB) 1,625% 21/31",A3KQX0,"84,23",21.01.25 10:46,39.034,"0,27","1,63%",US-Dollar,-
"Mercedes-Benz International Finance B.V. 3,5% 23/26",A3LH6T,"100,69",21.01.25 11:47,30.257,"-0,25","3,50%",Euro,-
"Mercedes-Benz International Finance B.V. 3,7% 23/31",A3LH6U,"103,05",21.01.25 15:54,25.764,"0,38","3,70%",Euro,-
"RWE AG 4,125% 23/35",A30V84,"103,41",21.01.25 12:21,10.341,"0,51","4,13%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"106,23",21.01.25 16:17,5.312,"-0,21","4,75%",Euro,-
"European Investment Bank (EIB) 2,75% 23/28",A3LD6J,"101,07",21.01.25 16:52,5.054,"0,04","2,75%",Euro,-
"E.ON SE 3,75% 23/29",A351VG,"102,90",21.01.25 17:09,2.057,"-0,65","3,75%",Euro,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,83",21.01.25 09:21,0,"0,02","2,90%",Australische Dollar,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,13",21.01.25 17:20,0,"-0,02","4,75%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,30",21.01.25 09:21,0,"0,09","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,20",21.01.25 11:20,0,"-0,03","4,50%",Canadische Dollar,-
"Quebec, Provinz 2,6% 18/25",A1927F,"99,26",21.01.25 17:20,0,"0,00","2,60%",Canadische Dollar,"2,84%"
"BASF SE 0,25% 20/27",A289DC,"94,24",21.01.25 11:20,0,"0,00","0,25%",Euro,-
"Deutsche Wohnen SE 0,5% 21/31",A3H25P,"84,05",21.01.25 17:20,0,"0,04","0,50%",Euro,-
"Deutsche Wohnen SE 1,3% 21/41",A3H25Q,"68,15",21.01.25 17:20,0,"0,35","1,30%",Euro,-
"Vonovia SE 2,375% 22/32",A3MQS7,"91,04",21.01.25 08:12,0,"-0,02","2,38%",Euro,-
"Commerzbank AG 0,75% 20/26",CB0HRQ,"99,57",21.01.25 17:08,0,"0,53","0,75%",Euro,-
Commerzbank AG 3% 22/27,CZ45W5,"100,03",21.01.25 17:08,0,"0,52","3,00%",Euro,-
"Landesbank Baden-Württemberg 0,25% 21/28",LB2V7C,"90,65",21.01.25 09:21,0,"0,06","0,25%",Euro,-
"NRW.BANK 0,875% 15/25",NWB0AC,"98,62",21.01.25 09:21,0,"-0,01","0,88%",Euro,"-0,56%"
"NRW.BANK 0,375% 16/26",NWB0AD,"96,19",21.01.25 11:20,0,"0,00","0,38%",Euro,"1,97%"
"NRW.BANK 0,5% 17/27",NWB0AE,"94,71",21.01.25 09:21,0,"-0,01","0,50%",Euro,"2,20%"
